Time;Name;Page;Referrer;Load Generator;Response code;Assertions;Time;Size;Population;Virtual User;
1706275049824;GET https://www.nft.marketplace.team/suppliers/details;/suppliers/details;;localhost:7100;200;1 Assertion failed;0.302;31950;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#83 - Actions#1;
1706275442110;GET https://www.nft.marketplace.team/suppliers/details;/suppliers/details;;localhost:7100;200;1 Assertion failed;0.301;32212;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#216 - Actions#1;
1706275632052;GET https://www.nft.marketplace.team/suppliers/details;/suppliers/details;;localhost:7100;200;1 Assertion failed;0.467;31957;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#78 - Actions#1;
1706276094879;GET https://www.nft.marketplace.team/suppliers/details;/suppliers/details;;localhost:7100;200;1 Assertion failed;5.8;32348;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#431 - Actions#1;
1706276207814;GET https://www.nft.marketplace.team/suppliers/details;/suppliers/details;;localhost:7100;200;1 Assertion failed;4.78;32287;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#67 - Actions#1;
1706276663873;GET https://www.nft.marketplace.team/suppliers/details;/suppliers/details;;localhost:7100;200;1 Assertion failed;8.78;32148;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#218 - Actions#1;
1706276737334;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/280918/edit/pricing/education-pricing;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/pricing/price;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/${pServiceId}/edit/pricing/price;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#6 - Actions#1;
1706276740779;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281020/edit/backups-and-recovery/backup-and-recovery;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/backups-and-recovery/bac;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#353 - Actions#1;
1706276749285;GET https://www.nft.marketplace.team/suppliers/details;/suppliers/details;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#224 - Actions#1;
1706276750205;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/reuse;/suppliers/frameworks/g-cloud-14/declaration/reuse;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#405 - Actions#1;
1706276972692;GET https://www.nft.marketplace.team/suppliers/details;/suppliers/details;;localhost:7100;200;1 Assertion failed;22.3;32219;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#307 - Actions#1;
1706277041456;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/280983;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/separation-between-users;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/${pServiceId}/edit/separation-between-users/virtualisation;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#302 - Actions#1;
1706277042313;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/data-protection;/suppliers/frameworks/g-cloud-14/declaration/edit/data-protection;;localhost:7100;504;0 Assertion failed;60.1;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#378 - Actions#1;
